time=19430, port=1, send=0, transmission=successfully

time=19440, port=1, send=1, transmission=successfully

time=19450, port=1, send=1, transmission=successfully

time=19460, port=1, send=0, transmission=successfully

time=19470, port=1, send=0, transmission=successfully

time=19480, port=1, send=1, transmission=successfully

time=19490, port=1, send=1, transmission=successfully

time=19500, port=1, send=0, transmission=successfully

time=19510, port=1, send=0, transmission=successfully

time=19520, port=1, send=1, transmission=successfully

time=19530, port=1, send=1, transmission=successfully

time=19540, port=1, send=1, transmission=successfully

time=19550, port=1, send=1, transmission=successfully

time=19560, port=1, send=0, transmission=successfully

time=19570, port=1, send=0, transmission=successfully

time=19580, port=1, send=0, transmission=successfully

